,att.pitch,att.roll,att.yaw,acc.x,acc.y,acc.z,gyro.pitch_w,gyro.roll_w,gyro.yaw_w
2023-11-21 21:01:56.910,1.2999999523,5.9000000954,277.0,-46.0,202.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:56.920,1.2999999523,5.9000000954,277.0,-46.0,202.0,1960.0,-0.0609756112,0.0609756112,-0.0609756112
2023-11-21 21:01:56.930,1.2999999523,5.9000000954,277.0,-46.0,202.0,1960.0,-0.0609756112,0.0609756112,-0.0609756112
2023-11-21 21:01:56.940,1.2999999523,5.9000000954,277.0,-44.0,201.0,1961.0,0.0,0.0,0.0
2023-11-21 21:01:56.950,1.2999999523,5.9000000954,277.0,-46.0,203.0,1961.0,0.0,0.0609756112,0.0609756112
2023-11-21 21:01:56.960,1.2999999523,5.9000000954,277.0,-47.0,201.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:56.970,1.2999999523,5.9000000954,277.0,-47.0,201.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:56.980,1.2999999523,5.9000000954,277.0,-47.0,201.0,1960.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:56.990,1.2999999523,5.9000000954,277.0,-47.0,201.0,1960.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.000,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.010,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.020,1.2999999523,5.9000000954,277.0,-44.0,201.0,1960.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.030,1.2999999523,5.9000000954,277.0,-44.0,201.0,1960.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.040,1.2999999523,5.9000000954,277.0,-45.0,204.0,1961.0,0.0609756112,-0.0609756112,0.0
2023-11-21 21:01:57.050,1.2999999523,5.9000000954,277.0,-44.0,200.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.060,1.2999999523,5.9000000954,277.0,-45.0,201.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.070,1.2999999523,5.9000000954,277.0,-46.0,203.0,1959.0,0.0,-0.0609756112,0.0
2023-11-21 21:01:57.080,1.2999999523,5.9000000954,277.0,-45.5,202.0,1959.0,-0.0304878056,-0.0304878056,0.0
2023-11-21 21:01:57.090,1.2999999523,5.9000000954,277.0,-45.0,201.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.100,1.2999999523,5.9000000954,277.0,-45.0,201.5,1959.5,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.110,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.120,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,0.0,-0.0609756112,-0.0609756112
2023-11-21 21:01:57.130,1.2999999523,5.9000000954,277.0,-44.0,200.0,1959.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.140,1.2999999523,5.9000000954,277.0,-45.0,200.0,1961.0,0.0,0.0,0.0
2023-11-21 21:01:57.150,1.2999999523,5.9000000954,277.0,-45.0,200.0,1961.0,0.0,0.0,0.0
2023-11-21 21:01:57.160,1.2999999523,5.9000000954,277.0,-46.0,201.0,1962.0,0.0,0.0,0.0
2023-11-21 21:01:57.170,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.180,1.2999999523,5.9000000954,277.0,-45.0,203.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.190,1.2999999523,5.9000000954,277.0,-44.0,200.0,1960.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.200,1.2999999523,5.9000000954,277.0,-45.0,200.5,1959.5,-0.0304878056,0.0,-0.0304878056
2023-11-21 21:01:57.210,1.2999999523,5.9000000954,277.0,-46.0,201.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.220,1.2999999523,5.9000000954,277.0,-47.0,201.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.230,1.2999999523,5.9000000954,277.0,-45.0,199.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.240,1.2999999523,5.9000000954,277.0,-45.0,200.0,1959.5,-0.0304878056,0.0,0.0
2023-11-21 21:01:57.250,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.260,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.270,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.280,1.2999999523,5.9000000954,277.0,-44.0,200.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.290,1.2999999523,5.9000000954,277.0,-46.0,201.0,1959.0,-0.0609756112,0.0,0.0
2023-11-21 21:01:57.300,1.2999999523,5.9000000954,277.0,-45.0,200.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.310,1.2999999523,5.9000000954,277.0,-45.0,200.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.320,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.330,1.2999999523,5.9000000954,277.0,-45.0,200.0,1960.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.340,1.2999999523,5.9000000954,277.0,-46.0,202.0,1960.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.350,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,0.0,0.0609756112,0.0
2023-11-21 21:01:57.360,1.2999999523,5.9000000954,277.0,-46.5,202.0,1959.0,0.0,0.0,0.0
2023-11-21 21:01:57.370,1.2999999523,5.9000000954,277.0,-47.0,202.0,1959.0,0.0,-0.0609756112,0.0
2023-11-21 21:01:57.380,1.2999999523,5.9000000954,277.0,-46.0,201.0,1959.5,0.0,-0.0304878056,0.0
2023-11-21 21:01:57.390,1.2999999523,5.9000000954,277.0,-45.0,200.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.400,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.410,1.2999999523,5.9000000954,277.0,-46.0,203.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.420,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,-0.0609756112,-0.0609756112,0.0
2023-11-21 21:01:57.430,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,-0.0609756112,-0.0609756112,0.0
2023-11-21 21:01:57.440,1.2999999523,5.9000000954,277.0,-46.0,202.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.450,1.2999999523,5.9000000954,277.0,-46.0,203.0,1960.0,0.0,0.0,0.0
2023-11-21 21:01:57.460,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,0.0609756112,0.0,0.0
2023-11-21 21:01:57.470,1.2999999523,5.9000000954,277.0,-45.0,201.0,1960.0,0.0609756112,0.0,0.0
2023-11-21 21:01:57.480,1.2999999523,5.9000000954,277.0,-45.0,201.0,1959.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.490,1.2999999523,5.9000000954,277.0,-45.0,201.0,1961.0,0.0,0.0,0.0
2023-11-21 21:01:57.500,1.2999999523,5.9000000954,277.0,-45.0,202.0,1960.0,0.0,0.0,-0.0609756112
2023-11-21 21:01:57.510,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 21:01:57.520,1.2999999523,5.9000000954,277.0,-46.0,202.0,1959.0,-0.0609756112,0.0,-0.0609756112
